,x,y,STATION_NAME,FILENAME,PROVINCE_CODE,min_date,max_date,mean_temp_coverage,max_temp_coverage,total_precipitation_coverage,direction_max_gust_coverage,speed_max_gust_coverage,min_rel_humiudity_coverage,max_rel_humiudity_coverage
115,-122.7838888888889,49.01805555555556,WHITE ROCK CAMPBELL SCIENTIFIC,station_925_data.csv,BC,1929-01-01,2022-01-08,0.9907210820161988,0.9909176692616183,0.964968152866242,0.16989069749154673,0.16989069749154673,0.14276165762365334,0.1426437052764017
116,-123.41888888888889,48.62166666666667,SAANICHTON CDA,station_87_data.csv,BC,1914-03-01,2022-01-07,0.9893956816149228,0.9948128273923598,0.9915676504407819,0.0,0.0,0.0,0.0
117,-80.47362666666666,43.35361833333333,ROSEVILLE,station_4816_data.csv,ON,1972-10-01,2022-01-08,0.9810673225418979,0.9832980609735171,0.996396499456615,0.0,0.0,0.0,0.0
118,-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,station_1115_data.csv,BC,1963-03-01,2022-01-09,0.991790974763111,0.9946054977014729,0.9923069706351441,0.0,0.0,0.0,0.0
119,-66.89861111111111,45.95444444444445,MACTAQUAC PROV PARK,station_6194_data.csv,NB,1973-12-01,2022-01-06,0.9839228295819936,0.9926604222004753,0.9895847895987697,0.0,0.0,0.0,0.0
120,-104.63333333333334,52.0,LEROY,station_2947_data.csv,SK,1980-06-01,2022-01-08,0.9987902412796559,0.9988574500974527,1.0,0.0,0.0,0.0,0.0
121,-122.95483333333334,50.12888916666667,WHISTLER,station_348_data.csv,BC,1976-11-01,2022-01-08,0.987546699875467,0.9879825653798257,0.9983810709838107,0.0,0.0,0.0,0.0
122,-130.7080611111111,54.56861666666666,GREEN ISLAND,station_393_data.csv,BC,1978-10-01,2022-01-07,0.9977243172951885,0.9979193758127438,0.9994148244473342,0.0,0.0,0.0,0.0
123,-125.30388888888888,50.01611111111111,QUINSAM RIVER HATCHERY,station_209_data.csv,BC,1975-09-01,2022-01-04,0.9649844236760124,0.9758255451713396,0.9993146417445483,0.0,0.0,0.0,0.0
124,-93.96666666666668,48.63333333333333,BARWICK,station_3932_data.csv,ON,1978-12-01,2022-01-07,0.975732661450736,0.9763957034876011,0.999734783185254,0.0,0.0,0.0,0.0
125,-110.28333333333332,54.41666666666666,COLD LAKE A,station_2832_data.csv,AB,1952-12-01,2022-01-08,0.9996422182468694,0.9996422182468694,0.9939574637249056,0.919618366129994,0.9282051282051282,0.9641423176306897,0.964221824686941
126,-125.44555555555556,50.333194444444445,CHATHAM POINT,station_153_data.csv,BC,1958-07-01,2022-01-08,0.9994731043732337,0.9996168031805336,0.9999042007951334,0.0,0.0,0.0,0.0
127,-64.91666666666667,44.98333333333333,GREENWOOD A,station_6354_data.csv,NS,1942-11-01,2022-01-08,0.9998271271998064,0.9998617017598451,0.9998962763198839,0.8311724233309131,0.8313798706911455,0.8446219271859765,0.8447602254261315
129,-111.84889722222222,50.55529722222222,BROOKS,station_2180_data.csv,AB,1988-12-01,2022-01-08,0.993792847878451,0.9941634241245136,0.9750787474522883,0.4762831202519918,0.4762831202519918,0.3320363164721142,0.33185102834908287
